Tabela;Campo origem;Campo destino;Regra;Fase
ZZ1;ZZ1_FORNEC;ZZ1_NOMEFO;"POSICIONE(""SA2"",1,xFilial(""SA2"")+M->ZZ1_FORNEC+M->ZZ1_LOJAFO,""A2_NOME"")";3
ZZ2;ZZ2_CONFOR;ZZ2_FORNEC;"POSICIONE(""ZZ1"",1,xFilial(""ZZ1"")+M->ZZ2_CONFOR,""ZZ1_FORNEC"")";3
ZZ2;ZZ2_CONFOR;ZZ2_LOJAFO;"POSICIONE(""ZZ1"",1,xFilial(""ZZ1"")+M->ZZ2_CONFOR,""ZZ1_LOJAFO"")";3
ZZ2;ZZ2_CONFOR;ZZ2_NOMEFO;"POSICIONE(""SA2"",1,xFilial(""SA2"")+M->ZZ2_FORNEC+M->ZZ2_LOJAFO,""A2_NOME"")";3
ZZ2;ZZ2_DATA;ZZ2_DATA;IF(INCLUI,dDataBase,ZZ2->ZZ2_DATA);3
ZZ2;ZZ2_HORA;ZZ2_HORA;IF(INCLUI,Time(),ZZ2->ZZ2_HORA);3
